0	-nan	-nan	-nan	
5.30003	0.00691293	-0.0416972	0.155463	
5.31003	0.00128041	-0.0439678	0.153742	
5.32003	-0.00423595	-0.0460535	0.152581	
5.33003	-0.00945845	-0.0473413	0.152502	
5.34003	-0.0145186	-0.0485095	0.153126	
5.35003	-0.0199393	-0.0496502	0.154656	
5.36003	-0.0250562	-0.0508889	0.156961	
5.37003	-0.0298841	-0.0514579	0.160497	
5.38003	-0.0341617	-0.0513601	0.165206	
5.39003	-0.0374816	-0.0482655	0.172087	
5.40003	-0.038496	-0.0435922	0.176887	
5.41003	-0.0336798	-0.0378517	0.174919	
5.42003	-0.0273784	-0.0308831	0.169759	
5.43003	-0.0218949	-0.023677	0.163186	
5.44003	-0.017274	-0.0162698	0.155703	
5.45003	-0.0112418	-0.00798692	0.146441	
5.46003	-0.00575656	-0.000502358	0.136767	
5.47003	-0.000548817	0.00642015	0.127238	
5.48003	0.00447233	0.0129854	0.117934	
5.49003	0.00568192	0.0185966	0.109286	
5.50003	0.00723376	0.0222522	0.10061	
5.51003	0.0106017	0.0236569	0.0917397	
5.52003	0.0130451	0.0251282	0.0832811	
5.53003	0.0148427	0.0263356	0.0752667	
5.54003	0.0139019	0.028618	0.0678117	
5.55003	0.00954363	0.0321775	0.0606084	
5.56003	0.00166637	0.0370125	0.0537104	
5.57003	-0.00982852	0.0431836	0.0472486	
5.58003	-0.0160374	0.0442657	0.0447427	
5.59003	-0.0072134	0.0340608	0.0423163	
5.60003	-0.00399853	0.0268047	0.0354493	
5.61003	-0.00348331	0.0207827	0.0292111	
5.62003	-0.00492106	0.0150424	0.0235145	
5.63003	-0.00638224	0.0099659	0.0183157	
5.64003	-0.007185	0.00744658	0.0137499	
5.65003	-0.00839109	0.00483511	0.00914716	
5.66003	-0.00926721	0.00294776	0.005119	
5.67003	-0.0118198	-0.000610973	0.00185697	
5.68004	-0.0131363	-0.00292601	-0.000629218	
5.69004	-0.0139895	-0.00449583	-0.00235403	
5.70004	-0.0155108	-0.00660462	-0.00341357	
5.71004	-0.0167124	-0.00844098	-0.00376469	
5.72004	-0.0175061	-0.00974252	-0.00356674	
